codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"197","WINDTURBINE","WINDTURBINE","N","","","","38.43544722N","021.79406389E","0","M","1124","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"198","WINDTURBINE","WINDTURBINE","Y","","","","38.43481944N","021.80050000E","0","M","1108","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"199","WINDTURBINE","WINDTURBINE","N","","","","38.43353333N","021.80149722E","0","M","1079","0","107","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"200","WINDTURBINE","WINDTURBINE","Y","","","","37.49058333N","023.17175000E","0","M","755","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"201","WINDTURBINE","WINDTURBINE","N","","","","37.49090556N","023.16888611E","0","M","807","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"202","WINDTURBINE","WINDTURBINE","N","","","","37.49179444N","023.16695278E","0","M","843","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"203","WINDTURBINE","WINDTURBINE","Y","","","","37.49276389N","023.16376389E","0","M","905","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"204","WINDTURBINE","WINDTURBINE","Y","","","","37.49315556N","023.16061389E","0","M","881","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"205","WINDTURBINE","WINDTURBINE","Y","","","","37.48477222N","023.15665833E","0","M","881","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"206","WINDTURBINE","WINDTURBINE","Y","","","","37.47877778N","023.13288333E","0","M","839","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
