codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"83868","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.11004722N","014.43615278E","0","M","287","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83869","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.05569444N","014.37948333E","0","M","397","0","124","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"104858","BUILDING","PRAHA","Y","N","Night marking","","50.04900000N","014.43572222E","0","M","373","0","105","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Building","LK|ENR|5.4|2019-04-17|CSV"
"99935","BUILDING","PRAHA","N","N","","","50.05012222N","014.43637778E","0","M","383","0","116","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Building","LK|ENR|5.4|2019-04-17|CSV"
"83648","BUILDING","PRAHA","Y","Y","Night marking","Day marking","50.05022222N","014.43930556E","0","M","394","0","132","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Building","LK|ENR|5.4|2019-04-17|CSV"
"83649","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.05417222N","014.46970278E","0","M","337","0","121","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83655","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.04450833N","014.57389722E","0","M","393","0","114","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83654","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.07885000N","014.54105556E","0","M","436","0","179","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83651","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.08471667N","014.52423333E","0","M","396","0","162","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83650","CHIMNEY","PRAHA","Y","Y","Night marking","Day marking","50.05418889N","014.46875000E","0","M","354","0","141","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83688","ANTENNA","PRAHA","Y","Y","Night marking","Day marking","50.08103056N","014.45105556E","0","M","476","0","222","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Tv transmitter","LK|ENR|5.4|2019-04-17|CSV"
"83754","CHIMNEY","PRAHA 5 - RADOTIN","N","N","","","49.99009722N","014.37648333E","0","M","297","0","106","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83727","CHIMNEY","PRACHOVICE","N","N","","","49.89581389N","015.64306667E","0","M","542","0","123","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83726","CHIMNEY","PRACHOVICE","Y","Y","Night marking","Day marking","49.89548611N","015.63916389E","0","M","546","0","122","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
