codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
229,MAST,HEDENLUNDA,YES,,F R,,58.997807,16.580084,0,M,527,0,354,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
232,MAST,KROKEK/ORRBERGEN,YES,,F R/FLG W,,58.676502,16.46775,0,M,1435,0,1063,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
234,MAST,FALERUM/LÖPGÖLSBERG,YES,,F R,,58.186974,16.24214,0,M,834,0,358,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
241,MAST,STUDSVIK,YES,,F R,,58.7725,17.38236,0,M,516,0,394,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
243,MAST,TORÖ,YES,,F R,,58.820637,17.844194,0,M,462,0,351,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
246,MAST,TÖCKSFORS,YES,,F R,,59.587997,11.820222,0,M,998,0,400,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
248,MAST,SVINESUND,YES,,F R,,59.08714,11.258111,0,M,602,0,328,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
249,MAST,SUNNE/BLÅBÄRSKULLEN,YES,,F R/FLG W,,59.8365,12.866667,0,M,2218,0,860,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
251,MAST,ARVIKA/ÖRSHULTABERGET 2,YES,,F R,,59.62325,12.671223,0,M,1158,0,390,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
258,MAST,KOPPOM,YES,,F R,,59.710835,12.11564,0,M,1229,0,354,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
