obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
83787;27;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;946;120;M;BpV;502639.66N;0130708.84E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83782;24;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;960;120;M;BpV;502603.60N;0130703.93E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83781;22;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;965;120;M;BpV;502606.31N;0130651.05E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83784;28;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;958;120;M;BpV;502611.47N;0130709.45E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83783;23;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;974;120;M;BpV;502613.89N;0130655.97E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83789;30;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;958;120;M;BpV;502649.68N;0130835.36E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83795;41;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;963;120;M;BpV;502643.74N;0131030.09E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83794;39;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;959;120;M;BpV;502640.96N;0131018.74E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83797;44;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;970;120;M;BpV;502657.34N;0131043.21E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83796;42;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;974;120;M;BpV;502650.88N;0131034.18E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83791;33;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;972;120;M;BpV;502634.76N;0130849.43E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83790;32;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;971;120;M;BpV;502641.67N;0130840.75E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83793;37;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;974;120;M;BpV;502644.59N;0131007.64E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83792;31;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;959;120;M;BpV;502632.96N;0130836.32E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83798;45;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;971;120;M;BpV;502703.78N;0131050.16E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83800;40;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;969;120;M;BpV;502655.00N;0131023.36E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83799;43;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;969;120;M;BpV;502703.68N;0131037.49E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
