codeGroup,groupInternalId,name,type,lighted,markingDescription,heightUnit,heightValue,elevationValue,latutide,longitude,defaultHeightFlag,verticalPrecision,lateralPrecision,obstacleRadius,linkedToGroupInternalId,linkType
,,LUNDÅKRA,Wind turbine,true,,ft,394,120.0912,55.85861,12.865278,false,,,,,
,,V HAMNEN MALMÖ,Building,true,,ft,623,193.8528,55.61333,12.976388,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.517223,12.803333,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.511665,12.795279,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50889,12.791112,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50611,12.786945,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.503334,12.783055,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.500557,12.778889,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.518612,12.798889,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.513054,12.790833,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.510277,12.786667,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.504723,12.778611,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.501945,12.774722,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.49917,12.7705555,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.519722,12.794723,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.516945,12.790556,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.514168,12.786667,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.514446,12.799167,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.515835,12.795,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.5075,12.782778,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.511665,12.782499,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50889,12.778333,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50611,12.774445,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.503334,12.770278,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.500557,12.766111,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.52111,12.790278,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.518333,12.786389,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.515556,12.782499,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.51278,12.778333,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50722,12.7699995,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.504444,12.766111,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.501667,12.761945,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.52222,12.785833,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.519722,12.781944,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.516945,12.778055,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.514168,12.773889,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.505833,12.761666,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.518055,12.773611,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.515278,12.769722,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.5125,12.765555,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.51,12.761389,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.52222,12.773334,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.519444,12.769444,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.516666,12.765278,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.51389,12.761389,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.52361,12.769166,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.518055,12.761111,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.520832,12.765,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.50861,12.765833,false,,,,,
,,LILLGRUND,Wind turbine,true,,ft,377,114.90960000000001,55.520832,12.777778,false,,,,,
,,LANDSKRONA,Wind turbine,true,,ft,410,127.1016,55.86139,12.8752775,false,,,,,
,,LANDSKRONA,Wind turbine,true,,ft,410,128.93040000000002,55.857777,12.860278,false,,,,,
,,OTTARP,Wind turbine,true,,ft,328,168.85920000000002,55.952225,12.957222,false,,,,,
,,LANDSKRONA,Wind turbine,true,,ft,410,142.0368,55.875553,12.896944,false,,,,,
,,LANDSKRONA,Wind turbine,true,,ft,410,138.9888,55.876663,12.903889,false,,,,,
,,LANDSKRONA,Wind turbine,true,,ft,410,138.9888,55.878056,12.910833,false,,,,,
,,HÖRBY 1,Pylon,true,,ft,1060,483.4128,55.806168,13.721027,false,,,,,
,,HÖRRÖD,Mast,true,,ft,358,288.3408,55.78761,13.979416,false,,,,,
,,TRELLEBORG,Mast,true,,ft,328,128.01600000000002,55.389336,13.196362,false,,,,,
,,BÖSARP,Mast,true,,ft,361,151.7904,55.411777,13.291667,false,,,,,
,,SVEDALA,Mast,true,,ft,354,187.452,55.478333,13.270361,false,,,,,
,,MAGLARP,Pylon,true,,ft,394,131.6736,55.389835,13.063223,false,,,,,
,,MALMÖ JÄGERSRO,Tower,true,,ft,351,124.0536,55.573414,13.056695,false,,,,,
,,MALMÖ/HELENEHOLMSVERKET,Chimney,true,,ft,427,142.9512,55.577778,13.012222,false,,,,,
,,MALMÖ/ÖRESUNDSVERKET,Chimney,false,,ft,328,103.0224,55.625553,13.038889,false,,,,,
,,TROLLEBERG,Wind turbine,true,,ft,328,113.08080000000001,55.699722,13.132222,false,,,,,
,,ASSMÅSA,Wind turbine,true,,ft,328,164.8968,55.550556,13.758611,false,,,,,
,,ASSMÅSA,Wind turbine,true,,ft,328,164.8968,55.550278,13.762222,false,,,,,
,,ASSMÅSA,Wind turbine,true,,ft,328,164.8968,55.549168,13.765555,false,,,,,
,,SKIBARÖD,Wind turbine,true,,ft,384,225.85680000000002,55.80361,13.547223,false,,,,,
,,VÄSTRABY,Wind turbine,true,,ft,384,238.9632,55.798332,13.543334,false,,,,,
,,VÄSTRABY,Wind turbine,true,,ft,384,227.99040000000002,55.801945,13.543056,false,,,,,
,,VÄSTRABY,Wind turbine,true,,ft,384,234.08640000000003,55.800278,13.547501,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,394,217.93200000000002,55.830555,13.436389,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,394,213.9696,55.833054,13.436389,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,394,210.9216,55.835556,13.436389,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,394,210.9216,55.838055,13.4366665,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,394,210.9216,55.840553,13.4366665,false,,,,,
,,GETINGE,Wind turbine,true,,ft,331,141.1224,55.754166,13.290833,false,,,,,
,,GETINGE,Wind turbine,true,,ft,331,141.1224,55.759167,13.297223,false,,,,,
,,GETINGE,Wind turbine,true,,ft,331,141.1224,55.761944,13.301111,false,,,,,
,,VÄRLINGE,Wind turbine,true,,ft,390,205.1304,55.888615,13.388333,false,,,,,
,,VÄRLINGE,Wind turbine,true,,ft,390,206.9592,55.88778,13.392777,false,,,,,
,,PLATFORM FINO 2,Tower\, Platform,true,,ft,340,103.632,55.006943,13.154166,false,,,,,
,,MALMÖ,Chimney,true,,ft,328,103.0224,55.62611,13.040833,false,,,,,
,,LUND,Wind turbine,true,,ft,331,178.00320000000002,55.738335,13.253889,false,,,,,
,,LUND,Wind turbine,true,,ft,331,177.08880000000002,55.74,13.258333,false,,,,,
,,LUND,Wind turbine,true,,ft,331,166.116,55.74139,13.2625,false,,,,,
,,MALMÖ,Wind turbine,true,,ft,394,121.0056,55.63222,13.011666,false,,,,,
,,NÄSBYHOLM,Wind turbine,true,,ft,331,152.0952,55.450832,13.470278,false,,,,,
